"date_week","week_flu","I","DT","DS"
"2012-11-26",-9,18.56,10277,3008
"2012-12-03",-8,15.6,26770,17224
"2012-12-10",-7,21.35,17690,6903
"2012-12-17",-6,26.22,16915,4803
"2012-12-24",-5,23.69,20533,10123
"2013-01-07",-1,22.78,9262,2002
"2013-01-14",0,48.74,15481,3674
"2013-01-21",1,92.66,15129,4232
"2013-01-28",2,153.04,17907,3841
"2013-02-04",3,201.34,26447,9839
"2013-02-11",4,215.84,21560,6832
"2013-02-18",5,227.91,21727,4003
"2013-02-25",6,229.44,41731,18405
"2013-03-04",7,166.47,26886,7321
"2013-03-11",8,168.76,27659,9525
"2013-03-18",9,109.55,26599,14521
"2013-04-01",11,35.92,31173,13065
"2013-04-08",12,25.95,46184,9784
"2013-04-15",13,19.3,16306,4733
"2013-04-22",14,14.69,5254,1955
"2013-04-29",15,9.91,11517,3351
"2013-06-03",20,0,8859,3734
"2013-08-26",32,0,3268,1179
"2013-09-23",-16,0,12448,8280
"2013-10-07",-14,6.92,19721,10072
"2013-10-14",-13,8.52,12078,2831
"2013-10-21",-12,13.07,22701,5145
"2013-10-28",-11,10.82,16558,7704
"2013-11-04",-10,11.13,14210,5445
"2013-11-11",-9,13.73,18040,8038
"2013-11-18",-8,15.3,6310,2778
"2013-11-25",-7,15.76,12113,1019
"2013-12-02",-6,16.94,19533,5915
"2013-12-09",-5,19.26,35311,17365
"2013-12-16",-4,29.07,20779,3034
"2013-12-23",-3,38.45,18987,4161
"2013-12-30",-2,52.04,126139,108105
"2014-01-06",-2,94.96,18279,1322
"2014-01-13",-1,163.48,86241,40641
"2014-01-20",0,282.48,87149,16753
"2014-01-27",1,294.85,67626,19424
"2014-02-03",2,217.11,50026,12997
"2014-02-10",3,152.73,30439,5383
"2014-02-17",4,103.13,24112,3434
"2014-02-24",5,71.17,17786,2756
"2014-03-03",6,48.29,20732,6981
"2014-03-10",7,34.11,23832,5023
"2014-03-17",8,20.04,12450,1289
"2014-03-24",9,17.46,10884,4978
"2014-04-07",11,13.63,6275,1815
"2014-04-14",12,9.53,9838,1725
"2014-04-21",13,4.9,6038,1049
"2014-05-05",15,2.59,5505,2639
"2014-05-12",16,3.33,8698,4471
"2014-05-19",17,2.07,3973,2001
"2014-06-16",21,0,5836,3630
"2014-06-30",23,0,34309,29594
"2014-08-25",31,0,6117,2001
"2014-09-08",-19,0,7347,1370
"2014-10-06",-15,6.96,119058,80191
"2014-10-20",-13,10.24,16531,5249
"2014-10-27",-12,11.94,14480,7194
"2014-11-03",-11,9.45,8655,1794
"2014-11-10",-10,11.01,15163,3764
"2014-11-17",-9,14.71,14472,7314
"2014-11-24",-8,13.03,9949,2100
"2014-12-01",-7,18.31,29287,11768
"2014-12-08",-6,19.95,30886,11956
"2014-12-15",-5,23.95,41907,18159
"2014-12-22",-4,36.35,38364,11351
"2014-12-29",-3,29.97,33916,6045
"2015-01-05",-4,36.55,51338,17464
"2015-01-12",-3,90.31,64399,18053
"2015-01-19",-2,213.51,128395,61329
"2015-01-26",-1,307.52,111357,25020
"2015-02-02",0,348.1,136194,44436
"2015-02-09",1,275.82,87536,41114
"2015-02-16",2,240.54,45321,15988
"2015-02-23",3,185.32,82763,44164
"2015-03-02",4,145.03,53855,36732
"2015-03-09",5,100.3,15801,4509
"2015-03-16",6,63.17,22756,10838
"2015-03-23",7,44.51,26959,8955
"2015-03-30",8,25.08,10189,2836
"2015-04-06",9,10.71,20909,8608
"2015-04-13",10,10.67,21336,9510
"2015-04-20",11,8.78,7409,1228
"2015-04-27",12,4.47,10986,5381
