"week","sum_degree","sum_degree_sensor","case_norm","case_sensor_norm","ili","case_degree_sensor_ratio","case_degree_ratio","week_flu_season","ili_lag1","sum_degree_sensor_lag1","sum_degree_lag1","case_norm_lag1","case_sensor_norm_lag1","case_degree_sensor_ratio_lag1","case_degree_ratio_lag1","ili_lag2","sum_degree_sensor_lag2","sum_degree_lag2","case_norm_lag2","case_sensor_norm_lag2","case_degree_sensor_ratio_lag2","case_degree_ratio_lag2","ili_lag3","sum_degree_sensor_lag3","sum_degree_lag3","case_norm_lag3","case_sensor_norm_lag3","case_degree_sensor_ratio_lag3","case_degree_ratio_lag3","ili_lag4","sum_degree_sensor_lag4","sum_degree_lag4","case_norm_lag4","case_sensor_norm_lag4","case_degree_sensor_ratio_lag4","case_degree_ratio_lag4"
52,20533,10123,0.144010792744851,0.012343782235273,23.69,3374.33333333333,586.657142857143,16,26.22,4803,16915,0.221920599076074,0.00472171487395902,4803,359.893617021277,21.35,6903,17690,0.237058828186921,0.0189647062549536,1725.75,353.8,15.6,17224,26770,0.189280529834059,0.0225333964088166,3444.8,637.380952380952,18.56,3008,10277,0.20511269563419,0.0141457031471855,1504,354.379310344828
1,9262,2002,0.119185396758183,0.00425662131279224,22.78,2002,330.785714285714,17,23.69,10123,20533,0.144010792744851,0.012343782235273,3374.33333333333,586.657142857143,26.22,4803,16915,0.221920599076074,0.00472171487395902,4803,359.893617021277,21.35,6903,17690,0.237058828186921,0.0189647062549536,1725.75,353.8,15.6,17224,26770,0.189280529834059,0.0225333964088166,3444.8,637.380952380952
2,15481,3674,0.255908500768579,0.00947809262105846,48.74,1837,286.685185185185,18,22.78,2002,9262,0.119185396758183,0.00425662131279224,2002,330.785714285714,23.69,10123,20533,0.144010792744851,0.012343782235273,3374.33333333333,586.657142857143,26.22,4803,16915,0.221920599076074,0.00472171487395902,4803,359.893617021277,21.35,6903,17690,0.237058828186921,0.0189647062549536,1725.75,353.8
3,15129,4232,0.231138660742976,0.0141513465761006,92.66,1410.66666666667,308.755102040816,19,48.74,3674,15481,0.255908500768579,0.00947809262105846,1837,286.685185185185,22.78,2002,9262,0.119185396758183,0.00425662131279224,2002,330.785714285714,23.69,10123,20533,0.144010792744851,0.012343782235273,3374.33333333333,586.657142857143,26.22,4803,16915,0.221920599076074,0.00472171487395902,4803,359.893617021277
4,17907,3841,0.232310943931517,0.0142231190162153,153.04,1280.33333333333,365.448979591837,20,92.66,4232,15129,0.231138660742976,0.0141513465761006,1410.66666666667,308.755102040816,48.74,3674,15481,0.255908500768579,0.00947809262105846,1837,286.685185185185,22.78,2002,9262,0.119185396758183,0.00425662131279224,2002,330.785714285714,23.69,10123,20533,0.144010792744851,0.012343782235273,3374.33333333333,586.657142857143
5,26447,9839,0.268648279215866,0.018852510822166,201.34,2459.75,463.982456140351,21,153.04,3841,17907,0.232310943931517,0.0142231190162153,1280.33333333333,365.448979591837,92.66,4232,15129,0.231138660742976,0.0141513465761006,1410.66666666667,308.755102040816,48.74,3674,15481,0.255908500768579,0.00947809262105846,1837,286.685185185185,22.78,2002,9262,0.119185396758183,0.00425662131279224,2002,330.785714285714
6,21560,6832,0.26730554535493,0.0184348651968917,215.84,1708,371.724137931034,22,201.34,9839,26447,0.268648279215866,0.018852510822166,2459.75,463.982456140351,153.04,3841,17907,0.232310943931517,0.0142231190162153,1280.33333333333,365.448979591837,92.66,4232,15129,0.231138660742976,0.0141513465761006,1410.66666666667,308.755102040816,48.74,3674,15481,0.255908500768579,0.00947809262105846,1837,286.685185185185
7,21727,4003,0.306270920659811,0.0141355809535297,227.91,1334.33333333333,334.261538461538,23,215.84,6832,21560,0.26730554535493,0.0184348651968917,1708,371.724137931034,201.34,9839,26447,0.268648279215866,0.018852510822166,2459.75,463.982456140351,153.04,3841,17907,0.232310943931517,0.0142231190162153,1280.33333333333,365.448979591837,92.66,4232,15129,0.231138660742976,0.0141513465761006,1410.66666666667,308.755102040816
8,41731,18405,0.427762902962644,0.0423062211721296,229.44,2045,458.582417582418,24,227.91,4003,21727,0.306270920659811,0.0141355809535297,1334.33333333333,334.261538461538,215.84,6832,21560,0.26730554535493,0.0184348651968917,1708,371.724137931034,201.34,9839,26447,0.268648279215866,0.018852510822166,2459.75,463.982456140351,153.04,3841,17907,0.232310943931517,0.0142231190162153,1280.33333333333,365.448979591837
9,26886,7321,0.346958846420687,0.0219594206595371,166.47,1464.2,340.329113924051,25,229.44,18405,41731,0.427762902962644,0.0423062211721296,2045,458.582417582418,227.91,4003,21727,0.306270920659811,0.0141355809535297,1334.33333333333,334.261538461538,215.84,6832,21560,0.26730554535493,0.0184348651968917,1708,371.724137931034,201.34,9839,26447,0.268648279215866,0.018852510822166,2459.75,463.982456140351
10,27659,9525,0.295383881574149,0.0272662044529984,168.76,1587.5,425.523076923077,26,166.47,7321,26886,0.346958846420687,0.0219594206595371,1464.2,340.329113924051,229.44,18405,41731,0.427762902962644,0.0423062211721296,2045,458.582417582418,227.91,4003,21727,0.306270920659811,0.0141355809535297,1334.33333333333,334.261538461538,215.84,6832,21560,0.26730554535493,0.0184348651968917,1708,371.724137931034
11,26599,14521,0.195331717319209,0.0227129903859546,109.55,2904.2,618.581395348837,27,168.76,9525,27659,0.295383881574149,0.0272662044529984,1587.5,425.523076923077,166.47,7321,26886,0.346958846420687,0.0219594206595371,1464.2,340.329113924051,229.44,18405,41731,0.427762902962644,0.0423062211721296,2045,458.582417582418,227.91,4003,21727,0.306270920659811,0.0141355809535297,1334.33333333333,334.261538461538
13,31173,13065,0.21489741979115,0.0268621774738937,35.92,1306.5,389.6625,29,109.55,14521,26599,0.195331717319209,0.0227129903859546,2904.2,618.581395348837,168.76,9525,27659,0.295383881574149,0.0272662044529984,1587.5,425.523076923077,166.47,7321,26886,0.346958846420687,0.0219594206595371,1464.2,340.329113924051,229.44,18405,41731,0.427762902962644,0.0423062211721296,2045,458.582417582418
14,46184,9784,0.425999151127735,0.0153237104722207,25.95,1956.8,332.258992805755,30,35.92,13065,31173,0.21489741979115,0.0268621774738937,1306.5,389.6625,109.55,14521,26599,0.195331717319209,0.0227129903859546,2904.2,618.581395348837,168.76,9525,27659,0.295383881574149,0.0272662044529984,1587.5,425.523076923077,166.47,7321,26886,0.346958846420687,0.0219594206595371,1464.2,340.329113924051
15,16306,4733,0.156642472742834,0.0127007410332027,19.3,1577.66666666667,440.702702702703,31,25.95,9784,46184,0.425999151127735,0.0153237104722207,1956.8,332.258992805755,35.92,13065,31173,0.21489741979115,0.0268621774738937,1306.5,389.6625,109.55,14521,26599,0.195331717319209,0.0227129903859546,2904.2,618.581395348837,168.76,9525,27659,0.295383881574149,0.0272662044529984,1587.5,425.523076923077
16,5254,1955,0.0569804016346888,0.00438310781805299,14.69,1955,404.153846153846,32,19.3,4733,16306,0.156642472742834,0.0127007410332027,1577.66666666667,440.702702702703,25.95,9784,46184,0.425999151127735,0.0153237104722207,1956.8,332.258992805755,35.92,13065,31173,0.21489741979115,0.0268621774738937,1306.5,389.6625,109.55,14521,26599,0.195331717319209,0.0227129903859546,2904.2,618.581395348837
17,11517,3351,0.126267161721021,0.00870808011869113,9.91,1675.5,397.137931034483,33,14.69,1955,5254,0.0569804016346888,0.00438310781805299,1955,404.153846153846,19.3,4733,16306,0.156642472742834,0.0127007410332027,1577.66666666667,440.702702702703,25.95,9784,46184,0.425999151127735,0.0153237104722207,1956.8,332.258992805755,35.92,13065,31173,0.21489741979115,0.0268621774738937,1306.5,389.6625
40,19721,10072,0.154182473960281,0.0272086718753436,6.92,1678.66666666667,580.029411764706,4,9.91,3351,11517,0.126267161721021,0.00870808011869113,1675.5,397.137931034483,14.69,1955,5254,0.0569804016346888,0.00438310781805299,1955,404.153846153846,19.3,4733,16306,0.156642472742834,0.0127007410332027,1577.66666666667,440.702702702703,25.95,9784,46184,0.425999151127735,0.0153237104722207,1956.8,332.258992805755
41,12078,2831,0.179391317705706,0.00944164830030031,8.52,1415.5,317.842105263158,5,6.92,10072,19721,0.154182473960281,0.0272086718753436,1678.66666666667,580.029411764706,9.91,3351,11517,0.126267161721021,0.00870808011869113,1675.5,397.137931034483,14.69,1955,5254,0.0569804016346888,0.00438310781805299,1955,404.153846153846,19.3,4733,16306,0.156642472742834,0.0127007410332027,1577.66666666667,440.702702702703
42,22701,5145,0.264821783467885,0.00897700960908086,13.07,2572.5,384.762711864407,6,8.52,2831,12078,0.179391317705706,0.00944164830030031,1415.5,317.842105263158,6.92,10072,19721,0.154182473960281,0.0272086718753436,1678.66666666667,580.029411764706,9.91,3351,11517,0.126267161721021,0.00870808011869113,1675.5,397.137931034483,14.69,1955,5254,0.0569804016346888,0.00438310781805299,1955,404.153846153846
43,16558,7704,0.170219608172793,0.0174584213510557,10.82,1926,424.564102564103,7,13.07,5145,22701,0.264821783467885,0.00897700960908086,2572.5,384.762711864407,8.52,2831,12078,0.179391317705706,0.00944164830030031,1415.5,317.842105263158,6.92,10072,19721,0.154182473960281,0.0272086718753436,1678.66666666667,580.029411764706,9.91,3351,11517,0.126267161721021,0.00870808011869113,1675.5,397.137931034483
44,14210,5445,0.147746094089607,0.00923413088060043,11.13,2722.5,444.0625,8,10.82,7704,16558,0.170219608172793,0.0174584213510557,1926,424.564102564103,13.07,5145,22701,0.264821783467885,0.00897700960908086,2572.5,384.762711864407,8.52,2831,12078,0.179391317705706,0.00944164830030031,1415.5,317.842105263158,6.92,10072,19721,0.154182473960281,0.0272086718753436,1678.66666666667,580.029411764706
45,18040,8038,0.168164000680434,0.0157653750637906,13.73,2679.33333333333,563.75,9,11.13,5445,14210,0.147746094089607,0.00923413088060043,2722.5,444.0625,10.82,7704,16558,0.170219608172793,0.0174584213510557,1926,424.564102564103,13.07,5145,22701,0.264821783467885,0.00897700960908086,2572.5,384.762711864407,8.52,2831,12078,0.179391317705706,0.00944164830030031,1415.5,317.842105263158
46,6310,2778,0.0947462269683765,0.00997328704930279,15.3,1389,332.105263157895,10,13.73,8038,18040,0.168164000680434,0.0157653750637906,2679.33333333333,563.75,11.13,5445,14210,0.147746094089607,0.00923413088060043,2722.5,444.0625,10.82,7704,16558,0.170219608172793,0.0174584213510557,1926,424.564102564103,13.07,5145,22701,0.264821783467885,0.00897700960908086,2572.5,384.762711864407
47,12113,1019,0.188444248111832,0.00438242437469378,15.76,1019,281.697674418605,11,15.3,2778,6310,0.0947462269683765,0.00997328704930279,1389,332.105263157895,13.73,8038,18040,0.168164000680434,0.0157653750637906,2679.33333333333,563.75,11.13,5445,14210,0.147746094089607,0.00923413088060043,2722.5,444.0625,10.82,7704,16558,0.170219608172793,0.0174584213510557,1926,424.564102564103
48,19533,5915,0.228380308024134,0.0160266882823954,16.94,1478.75,342.684210526316,12,15.76,1019,12113,0.188444248111832,0.00438242437469378,1019,281.697674418605,15.3,2778,6310,0.0947462269683765,0.00997328704930279,1389,332.105263157895,13.73,8038,18040,0.168164000680434,0.0157653750637906,2679.33333333333,563.75,11.13,5445,14210,0.147746094089607,0.00923413088060043,2722.5,444.0625
49,35311,17365,0.256689534257874,0.0249559269417378,19.26,2480.71428571429,490.430555555556,13,16.94,5915,19533,0.228380308024134,0.0160266882823954,1478.75,342.684210526316,15.76,1019,12113,0.188444248111832,0.00438242437469378,1019,281.697674418605,15.3,2778,6310,0.0947462269683765,0.00997328704930279,1389,332.105263157895,13.73,8038,18040,0.168164000680434,0.0157653750637906,2679.33333333333,563.75
50,20779,3034,0.247358282256138,0.00785264388114725,29.07,1517,329.825396825397,14,19.26,17365,35311,0.256689534257874,0.0249559269417378,2480.71428571429,490.430555555556,16.94,5915,19533,0.228380308024134,0.0160266882823954,1478.75,342.684210526316,15.76,1019,12113,0.188444248111832,0.00438242437469378,1019,281.697674418605,15.3,2778,6310,0.0947462269683765,0.00997328704930279,1389,332.105263157895
51,18987,4161,0.217358385577836,0.0114399150304124,38.45,1387,333.105263157895,15,29.07,3034,20779,0.247358282256138,0.00785264388114725,1517,329.825396825397,19.26,17365,35311,0.256689534257874,0.0249559269417378,2480.71428571429,490.430555555556,16.94,5915,19533,0.228380308024134,0.0160266882823954,1478.75,342.684210526316,15.76,1019,12113,0.188444248111832,0.00438242437469378,1019,281.697674418605
